"name 1","name 2","uri 1","uri 2"
"status","annotates","http://xmlns.com/foaf/0.1/status","http://purl.org/ontology/bibo/annotates"
"status","status","http://xmlns.com/foaf/0.1/status","http://purl.org/ontology/bibo/degree"
"status","status","http://xmlns.com/foaf/0.1/status","http://purl.org/ontology/bibo/status"
"Surname","prefix name","http://xmlns.com/foaf/0.1/surname","http://purl.org/ontology/bibo/prefixName"
"Surname","suffix name","http://xmlns.com/foaf/0.1/surname","http://purl.org/ontology/bibo/suffixName"
"Surname","name","http://xmlns.com/foaf/0.1/surname","http://xmlns.com/foaf/0.1/name"
"theme","time","http://xmlns.com/foaf/0.1/theme","http://purl.org/NET/c4dm/event.owl#time"
"title","title","http://xmlns.com/foaf/0.1/title","http://purl.org/dc/terms/title"
"title","short title","http://xmlns.com/foaf/0.1/title","http://purl.org/ontology/bibo/shortTitle"
"title","time","http://xmlns.com/foaf/0.1/title","http://purl.org/NET/c4dm/event.owl#time"
"title","cites","http://xmlns.com/foaf/0.1/title","http://purl.org/ontology/bibo/cites"
"work info homepage","homepage","http://xmlns.com/foaf/0.1/workInfoHomepage","http://xmlns.com/foaf/0.1/homepage"
"workplace homepage","homepage","http://xmlns.com/foaf/0.1/workplaceHomepage","http://xmlns.com/foaf/0.1/homepage"
"date","deprecated","http://purl.org/dc/elements/1.1/date","http://www.w3.org/2002/07/owl#deprecated"
"date","created","http://purl.org/dc/elements/1.1/date","http://purl.org/dc/terms/created"
"date","date","http://purl.org/dc/elements/1.1/date","http://purl.org/dc/terms/date"
"date","date argued","http://purl.org/dc/elements/1.1/date","http://purl.org/ontology/bibo/argued"
"date","chapter","http://purl.org/dc/elements/1.1/date","http://purl.org/ontology/bibo/chapter"
"description","description","http://purl.org/dc/elements/1.1/description","http://purl.org/dc/terms/description"
"description","edition","http://purl.org/dc/elements/1.1/description","http://prismstandard.org/namespaces/1.2/basic/edition"
"description","edition","http://purl.org/dc/elements/1.1/description","http://purl.org/ontology/bibo/edition"
"description","section","http://purl.org/dc/elements/1.1/description","http://purl.org/ontology/bibo/section"
"description","shortDescription","http://purl.org/dc/elements/1.1/description","http://purl.org/ontology/bibo/shortDescription"
"description","relation","http://purl.org/dc/elements/1.1/description","http://purl.org/dc/terms/relation"
"description","distributor","http://purl.org/dc/elements/1.1/description","http://purl.org/ontology/bibo/distributor"
"description","transcript of","http://purl.org/dc/elements/1.1/description","http://purl.org/ontology/bibo/transcriptOf"
"description","depiction","http://purl.org/dc/elements/1.1/description","http://xmlns.com/foaf/0.1/depiction"
"title","title","http://purl.org/dc/elements/1.1/title","http://purl.org/dc/terms/title"
"title","short title","http://purl.org/dc/elements/1.1/title","http://purl.org/ontology/bibo/shortTitle"
"title","time","http://purl.org/dc/elements/1.1/title","http://purl.org/NET/c4dm/event.owl#time"
"title","cites","http://purl.org/dc/elements/1.1/title","http://purl.org/ontology/bibo/cites"
"term_status","term_status","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status"
"term_status","status","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","http://purl.org/ontology/bibo/degree"
"term_status","status","http://www.w3.org/2003/06/sw-vocab-status/ns#term_status","http://purl.org/ontology/bibo/status"
"assurance","issue","http://xmlns.com/wot/0.1/assurance","http://prismstandard.org/namespaces/1.2/basic/issue"
"assurance","issued","http://xmlns.com/wot/0.1/assurance","http://purl.org/dc/terms/issued"
"assurance","abstract","http://xmlns.com/wot/0.1/assurance","http://purl.org/ontology/bibo/abstract"
"assurance","issue","http://xmlns.com/wot/0.1/assurance","http://purl.org/ontology/bibo/issue"
"assurance","issuer","http://xmlns.com/wot/0.1/assurance","http://purl.org/ontology/bibo/issuer"
